StateName,Year,index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Total,Footnotes
AL,2012,1,0.249,0.095,0.112,0.27,0.13,0.144,1.0,
AK,2012,2,0.27,0.106,0.129,0.278,0.134,0.085,1.0,
AZ,2012,3,0.262,0.095,0.118,0.257,0.119,0.151,1.0,
AR,2012,4,0.255,0.091,0.117,0.263,0.126,0.149,1.0,
CA,2012,5,0.258,0.103,0.127,0.277,0.115,0.121,1.0,
CO,2012,6,0.252,0.095,0.129,0.279,0.126,0.118,1.0,
CT,2012,7,0.238,0.084,0.106,0.293,0.133,0.147,1.0,
DE,2012,8,0.238,0.094,0.109,0.273,0.131,0.155,1.0,
DC,2012,9,0.192,0.108,0.207,0.266,0.111,0.116,1.0,
FL,2012,10,0.22,0.09,0.109,0.269,0.13,0.182,1.0,
GA,2012,11,0.269,0.094,0.121,0.284,0.117,0.115,1.0,
HI,2012,12,0.237,0.087,0.122,0.263,0.135,0.155,1.0,
ID,2012,13,0.281,0.095,0.116,0.254,0.123,0.132,1.0,
IL,2012,14,0.253,0.093,0.124,0.277,0.123,0.13,1.0,
IN,2012,15,0.259,0.092,0.116,0.272,0.127,0.135,1.0,
IA,2012,16,0.25,0.093,0.116,0.261,0.131,0.15,1.0,
KS,2012,17,0.267,0.095,0.12,0.26,0.125,0.134,1.0,
KY,2012,18,0.246,0.09,0.115,0.277,0.132,0.14,1.0,
LA,2012,19,0.26,0.099,0.124,0.262,0.125,0.13,1.0,
ME,2012,20,0.213,0.077,0.102,0.284,0.155,0.17,1.0,
MD,2012,21,0.244,0.09,0.122,0.287,0.128,0.129,1.0,
MA,2012,22,0.227,0.088,0.121,0.289,0.132,0.143,1.0,
MI,2012,23,0.243,0.096,0.105,0.275,0.136,0.146,1.0,
MN,2012,24,0.252,0.084,0.128,0.275,0.129,0.133,1.0,
MS,2012,25,0.271,0.098,0.112,0.261,0.124,0.134,1.0,
MO,2012,26,0.247,0.091,0.119,0.268,0.129,0.146,1.0,
MT,2012,27,0.232,0.088,0.111,0.261,0.15,0.157,1.0,
NE,2012,28,0.266,0.088,0.122,0.263,0.125,0.136,1.0,
NV,2012,29,0.252,0.093,0.126,0.277,0.122,0.131,1.0,
NH,2012,30,0.222,0.082,0.101,0.301,0.148,0.147,1.0,
NJ,2012,31,0.243,0.083,0.114,0.294,0.126,0.139,1.0,
NM,2012,32,0.266,0.09,0.119,0.255,0.13,0.141,1.0,
NY,2012,33,0.232,0.097,0.126,0.28,0.126,0.139,1.0,
NC,2012,34,0.251,0.09,0.114,0.281,0.126,0.138,1.0,
ND,2012,35,0.237,0.112,0.129,0.251,0.132,0.14,1.0,
OH,2012,36,0.244,0.089,0.111,0.274,0.135,0.146,1.0,
OK,2012,37,0.263,0.094,0.12,0.261,0.123,0.14,1.0,
OR,2012,38,0.233,0.09,0.124,0.267,0.137,0.15,1.0,
PA,2012,39,0.229,0.09,0.11,0.274,0.138,0.159,1.0,
RI,2012,40,0.223,0.098,0.113,0.281,0.134,0.15,1.0,
SC,2012,41,0.247,0.092,0.112,0.269,0.132,0.148,1.0,
SD,2012,42,0.261,0.091,0.119,0.251,0.136,0.141,1.0,
TN,2012,43,0.246,0.09,0.116,0.276,0.13,0.142,1.0,
TX,2012,44,0.286,0.099,0.128,0.271,0.109,0.109,1.0,
UT,2012,45,0.324,0.113,0.142,0.234,0.092,0.095,1.0,
VT,2012,46,0.21,0.088,0.103,0.28,0.157,0.161,1.0,
VA,2012,47,0.245,0.09,0.123,0.285,0.126,0.132,1.0,
WA,2012,48,0.243,0.092,0.126,0.277,0.131,0.132,1.0,
WV,2012,49,0.219,0.087,0.106,0.27,0.151,0.167,1.0,
WI,2012,50,0.244,0.088,0.116,0.276,0.134,0.142,1.0,
WY,2012,51,0.249,0.093,0.129,0.259,0.14,0.13,1.0,
